,Comment
3066,Trời ơi clip của chị Chi Pu mình thấy hay lắm mà sao nghe cái này xong mình cảm giác thích nghe chị Linh ca hát hơn
3067,Thế mà mùa truoc cung dam choi giong ai giong ai
3068,???? êm
3069,Hát dở hơn cả twice hát live
3070,tao dislike cai video vi xuc pham ca si
3071,kkkkk
3072,Dở. Vl
3073,ad làm vid có tâm quá :) ai lai kịt :v
3074,Cái này gọi là hát bất chấp đúng sai nè
3075,ĐAU CẢ RUỘT
3076,Hát gì vậy trời
3077,Giọng hát khủng khiếp nhất mà tui từng nghe
3078,Ô thế ra cô ta còn can đảm để live ò ó o ò sau chừng ấy gạch à kkk
3079,"CP hát ""mông lung như một trò đùa """
3080,Giọng hát cứng và thô quá.thậm chí thua tui hát karaoke .
3081,co gi dau ma ko dam nghe het
3082,giọng thì như táp vào mông người nghe :)) yếu mà cứ thích ra gió
3083,Hát như sút vào tai khán giả
3084,Ke nguoi ta
3085,Dm mới đi mổ ruột thừa zề...h xúc chỉ mẹ no r
3086,Ma oi hat vay ma doi lam ca si
3087,"Chi pu có cố gắng 
Nhưng mà hại lỗ tai khán giả quá
Mình k có ý chê bai 
Nhưng vẫn phải nói là fan chi pu bảo vệ bạn ý rất tốt
Kkkkk"
3088,có khác gì tùng sơn ko mọi người
3089,Ai hát live chắc gì đã được như chipu mik thấy ai cx mở nhạc nền rồi hát theo cũng nhảy được như chipu nên khi nghe hãy khoan nx
3090,Sợ vch 😂
3091,"Em ấy hát live ko hay nhưng nhiệt tình, ko hát nhép là tốt rồi, thằng nào muốn xoạc chipu giống tao điểm danh😂"
3092,"Hình như khúc hát nhựa là ghép thì phải 😕😕😕

Bọn ác ôn 😠😠😠"
3093,Cô là ai? Cháu không biết¡ Cô đi ra ik
3094,Linh Ka bản 2 xin hân hạnh dc ra mắt :)
3095,"Phong thái biểu diễn cũng tốt đó, bài hát cũng hay...nhưng Live còn tệ quá :) cần trau dồi thêm rất nhiều  kỹ năng"
3096,What?wtf?
3097,J mà k dám nghe
3098,😂😂😂😂 tởm vc
3099,Let's go
3100,Chị ý tự nhận mình là ca sĩ đấy🤣🤣🤣
3101,Bạn nào ko thích đánh luôn; ko biết thưởng thức
3102,Các bạn mở lại phim 5s online ý. Xem những câu chipu nó nói những từ cao cao cũng bị như vậy. Nghĩa là giọng nó nói còn đéo đc thì hát cc gì
3103,Em xin thua
3104,Hay qua
3105,Áo chi pu giống nhóm eixd bài ddd run to you
3106,Giọng yếu quá~
3107,Live khá tốt luyện  ba năm ko phí 😂😂
3108,ai đó chọc thủng tai t đi
3109,"Cứ đẹp là thành ca sĩ,mặc dù bạn hát chả ra gì😊"
3110,"T ko phải fan chipu nhưng vẫn ủng hộ giọng hát của cô ấy
Nhưng xem xong clip này chắc t phải suy nghĩ lại :-) :-)"
3111,Động tác múa thấy gớm
3112,"Chi cũng chả quan tâm tới mấy cái góp ý của khán gủa đâu, nhưng nói thật hát như tâm thần ý có mấy đoạn ngắt thấy rõ luôn chắc nhảy sung quá 🤣🤣"
3113,Xem cái này xong cười vỡ cmn bụng 😂😂😂
3114,nói thì lại bảo quá đáng. chứ thấy tởm
3115,A nhận ra e có rất nhiều cái tốt duy chỉ có 1 khuyết điểm là e hát như 🤣🤣lol
3116,Chi nhảy đẹp... Nhưng live tệ thật!!!
3117,"b này không có giọng hát, hát còn yếu cần đc đào tạo thêm"
3118,Ôi mai gót
3119,😂
3120,=[
3121,Vũ điệu đẹp.người xinh.nhưng hát như vậy là ca sĩ sao.có phải như vậy là nỗi buồn trong làng ca nghệ sĩ k.
3122,đúng tệ...thế mà bọn fan hò hét như điên..óc
3123,Cái này hôm đấy mình cũng đi xem vì chi pu hát bài t3 rồi vừa hát vừa nhảy nữa 2 bài tr hay lắm bài t3 hết hơi chứ người bt hát bài này cũng lên được á
3124,ò ó ô oo
3125,giọng cực tệ v mà cx dc làm ca sĩ
3126,"E ý rất xinh mình cũng thích e ý , nhưng từ khi e ý hát thì thôi ... chán luôn"
3127,Bắt chước phong cách của sếp tùng
3128,Giọng hát lạ
3129,Đó là đam mê ... Ko hay nhung tôi like
3130,đừng làm cả sĩ thì có khi fan ko ghét
3131,Co cai động tác vuốt vuốt duoi căm mà lam hoai nên thay nó nhãm
3132,mặt giống linh ka vãi =))
3133,Đâu có đến mức phải lôi ra... không phải fan nhưng mà thấy làm quá....
3134,Hát vậy cũng làm ca sĩ ảo tưởng
3135,Beat với nhảy chiếm 2/3... 1 phần còn lại là âm thanh Giọng thảm họa cùng bọn fan cuồng hò hét... Chẳng hiểu tại sao... Thêm vài người như thế... Hư mẹ cái nền âm nhạc này rồi...
3136,thua tôi hát nữa á. Phan reo hò như đúng rồi
3137,Có tiền là co quyền
3138,"Có gì đâu mà ko dám nge hết , đâu dở tới nổi"
3139,Bả bị bể vọng đó
3140,Bài hát te chứ không phải người hát tệ
3141,Chi mong 1 ngay Chipu hat Trai tim ben le va Noi tinh yeu bat dau de nghe va cam nhan Haloween haha
3142,"Quá khủng khiếp, nhất là mấy đoạn bị gãy"
3143,Cứu taooo
3144,":v Linh Kaa hát dở , mà Chi Pu hát còn dở hơn"
3145,"Địt
Cười vỡ bụng"
3146,lay chua oi
3147,theo tao nhi thi chay nhot . dep the la dc roi .. vua hat vua nhat nhot the cung la 1 van de day . may anh may chi =]] .. bi gay hoi la bt =]]
3148,Ôi.... không được không được.... không được nói gì cả... mình là fan mà... phải im nhất định phải im
3149,"đâu cần phải chê CHIPU đến vậy...
cô ấy củng hát đc mà"
3150,GHÊ
3151,Hôi nách mà đòi làm hoa hậu
3152,Muốn ng khác công nhận mình là nghệ sĩ thì thể hiện cái j là tài năng thực thụ đi.Chứ cứ đi gào rú như thế ai mà chịu nổi
3153,"Như đầu buồi
Ôm đầu buồi thông là nó tỉnh
Tại bạn bè khen và gia đình khen hát hay"
3154,Chị này mà song ca với sơn tung thì sẻ có một tuyệt phẩm
3155,Nếu cô ấy đứng yên hát thì có lẽ sẽ k tệ đến như vậy :)
3156,Mh là fan chị pu như mad nghe xong mh nghĩ lại t
3157,Cố chấp để rồi ai công nhận em là ca sĩ???
3158,Ngon là được đm
3159,Chi pu bị hụt hơi đó mình từng đi thi hát là cx bị vậy chi pu hát bị hụt hơi thì mắc gì mà phải tua đi tua lại
3160,Nói thật cứ có tiền bỏ ra là nghĩ người ta sẽ khoái buồn nôn quá
3161,Ko anti nhưng thấy thảm họa quá
3162,Chỉ một từ: Khùng
3163,Giọng ko đc hay rồi thì tốt nhất Chi chỉ hát và có vài động tác phụ cho giọng đỡ hụt vừa nhảy vừa hát rất khó
3164,"Ca như qq ta 
Nghĩ lm ca sĩ jk 
Dien viên đc r"
3165,Đẹp thì có quyền mà. Nhưng giọng hát như vậy chẳng bao h có ai chấp nhận. OK.
3166,Do et ma cung doi lam ca si nhu dap vao lo tai cua nguoi nghe
3167,Đảm bảo xem xong có nhiều bác hết hâm mộ luôn
3168,Nếu như hát like thì nên pỏ nhưng thu âm qua chỉnh sửa chắc củng đở ..nhung nghe hk có ji gọi la thíc
3169,tui xap chet roi
3170,Sao tối ngày ko có j làm sao mà đi soi người khác hoài dạ
3171,"hát thế này mà vẫn tự tin trình diễn, khâm phục"
3172,huhuhu ac mộng
3173,chi pu lúc đóng 5s dễ thương hơn nhìu bây h nhiu cứ lam diễn viên có phải tôt ko chi pu
3174,dở ẹch
3175,Chị chỉ cần đứng và cười là đẹp k cần hát vì chị hát dở quá
3176,"Mèn ơi thảm họa
...............?............."
3177,😍😍😍😍
3178,Hết
3179,thanh niên làm clip xin nhận của e 1 lạy :V
3180,Vão
3181,có ai nhận ra điệu nhảy giống heri nhảy trong gia đình là số 1 phần 2 k
3182,Nếu nói Chipu hát hay thì chắc tao thành ca sĩ tầm cỡ Taylor Swift roài :)
3183,Trời đất ... Thua
3184,😍😍😍
3185,Tao quỳ:))))))
3186,Trời. Tôi đag nghe hát sao???
3187,Sao đám khán giả ở dưới nó phấn khích và hâm mộ thế nhỉ...fan cuồng chăng ???
3188,ko biết nó hát nó có xấu hổ hay ko chứ tao nghe là tao thấy xấu hổ hộ giùm no
3189,Đúng là đẹp không phải là tất cả
3190,ôi cô ấy thật là can đảm +.+
3191,Sợ thật....'-'
3192,Anh Lệ Rơi giải nghệ có ngay em Pu thay thế.nghe  vui không chịu được
3193,Thx'vaichuong
3194,mình đây Phan chipu và từ hôm nay mình sẽ là phan đứa khác
3195,Quẩy lên nào Trump trump trump ơi !
3196,xàm lol
3197,"Bh  mới nghe đoạn live này  .phải nói là thảm họa âm nhạc  ,nghe chối kinh khủng. Như muốn đám vào tai ngkh. S chị ấy cứ phải cố chấp làm điều mà mk k nên làm và k thể làm này nhỉ  .cứ như tn thì đúng là xúc phạm nền â. Nhạc vn 
Quá là thất vọng 😑😑😑"
3198,Hai điều mình enjoy ở buổi live này là nhạc của bài hát hay (ko phải giọng Chi Pu) và Chi Pu nhảy đẹp :3
3199,Nhỡ nta mất giọng thì sao??
3200,Chả ưa mẹ này
3201,"nói đi cũng nói lại
hy vọng qua luyện tập và cố gắng, chipu sẽ hát hay hơn"
3202,fan chi pu đâu vô đây bình luận như bên MV nữa đi sao mất tiu hết r :)
3203,Tôi mong quý khách hãy nhìn nhận ca sỹ này 1 cách mù oán
3204,"Cô ấy chỉ đam mê, nhưng tố chất ca sĩ chưa đủ"
3205,"Hát thế mà có người xem,đau ruột"
3206,Lúc ghét sơn tùng ghê (ghét vì bọn sky) nhưng bây giờ đỡ rồi ^^
3207,Vũ điệu đẹp mắt....chắc do nhảy nhiều lên hụt hơi
3208,Trời tao mới mổ thàh công ruột thừa nghe chị ấy hát tao đứt mẹ nó cái ruôt rồi🙄
3209,Hãy biết mình là ai. Không phải cái gì cũng làm được dù cố gắng. Đẹp không phải là tất cả
3210,Vậy những ca sĩ khác hát live có lỗi nhiều như vậy không. Lỗi cơ bản mà. Hát vậy mà nó cũng la vkl
3211,tuyệt vời
3212,Lạy Thánh😭😭😫
3213,Ko phải giong chipu đảm bảo muốn làm xấu mặt chipu chứ gì
3214,Bớt :)))
3215,Nhìn như chưa chích ngừa
3216,Chị bị sao vậy -_- ????? Phiêu còn không biết...chán vãi ra
3217,tội cho chi pu mong chi pu sẽ cố gắng nhiều hơn nữa
3218,"Trước thì k thích ChiPu lắm. Giờ thì thích nhiều hơn!. Dám làm những gì mình đam mê, ước mơ. Thì đâu phải quan tâm thiên hạ nói gì!.
Cố lên Em!."
3219,chỉ cần đi luyện thanh nhiều thì OK r có gì phải ném đá nghề ca hát để đi kím tiền thôi có đứa nào đi hát mà ko lấy tiền không cạp đất ăn àk
3220,Lệ rơi.... này là Pu Rơi nhé.... lol
3221,giống kiểu mời khán giả về hát
3222,chaien
3223,Qua đây có thể chứng minh không phải xinh đẹp là hát hay.. 😅😅..ố ô ố ồ ..
3224,bị giật kinh phong hả chi
3225,Hài vl =))
3226,cười đau bụng 🤣🤣🤣
3227,0:38 từ hôm nay em sẽ trắng mông chờ
3228,trời ơi! hát như này thì mình cũng hát được ko cần ôn luyện gì hết
3229,Chipu hát hay mà.ad đừng dùng một chút tiểu xảo âm thanh.
3230,Ít ra em ý ko chơi nhép..
3231,Xem tất sợ dì 😎😎😎😎
3232,"Đầu lòng hai ả tố nga
Chị là Chipu em là linh ka 😁😁"
3233,"Từ trc giờ vẫn rất quý CP nhưng bạn này hát thật sự dở, giọng yếu lắm, hát như đọc, k có nhịp j cả"
3234,Bài gì đây
3235,Dám
3236,ahaha 1:35
3237,Chỉ được cái đẹp😂
3238,"Cố gắng lên e ủng hộ cj
Đừng chỉ nhìn vào những mặt xấu r chê ng khác hãy nhìn vào những mặt tốt của họ Mà nhận xét để họ cố gắng hơn và tiến bộ hơn mn ạ"
3239,"Cố gắng lên e ủng hộ cj
Đừng chỉ nhìn vào những mặt xấu r chê ng khác hãy nhìn vào những mặt tốt của họ Mà nhận xét để họ cố gắng hơn và tiến bộ hơn mn ạ"
3240,Ca sĩ mình cảm nhận hay khi hát live.vì hát live là giọng thật ko qua chỉnh âm.hát live ko ra gì thì dẹp cmn MV đi.ra MV chỉnh âm cho hay thì dẹp làm ca sĩ đi.nghe đau tai quá.có nghe mới biết đau tai cỡ nào
3241,Bài này là bài gì thế mn??
3242,Bài này là bài gì thế mn??
3243,"Cùng xem giọng hát live của các nữ ca sĩ Việt Nam nhé , Ai hát live tốt nhất ? : https://youtu.be/V81urQurzUQ . <3"
3244,Ôi phải chi Chi Pu đừng hát thì cố ấy đã ko có anti fan
3245,Hát nhảm vl lạy là sư Phụ hát vỡ cả tai. :(
3246,Lệ rơi đâu vào nhận họ hàng đê
3247,abcd
3248,Chừng bào Chipu tỉnh ngộ đây ......
3249,tệ 😂 quá
3250,Tạo nghiệp ít thôi ko thik thì xem cái khác ở đây mà chế giễu người khác
3251,thay dau gi de thuong ma .vua hat nhay hoi met
3252,"Đúng là ""Không học hành gì cũng nỗi tiếng"" :b"
3253,K ra gì
3254,zậy mà cũng gọi là ca sĩ hả ca cái cc
3255,Làm ca sĩ dễ . Quan trọng là có ÷ ò ó o đc ko
3256,Đhs cứ đến đoạn gáy ò ó o lại dí mic xuống khán giả :|
3257,^^ th chỉnh clip ác vl ngây khúc độc ko
3258,"Giọg hát như gà mắc đẻ á, mà cứ thích hát"
3259,Ca si cc
3260,"Chị ấy nghĩ mình đẹp và chị có quyền làm những j chị thích , thật thì thích chị dong phim hay style mặc đồ của chị ấy chứ k dám nghe chị hát"
3261,Hay
3262,mik thấy hay mà
3263,1:03 có gì đâu hát như vậy đúng òi
3264,"mình thấy hát cũng bt. live mà. ca sĩ nào hát live chẳng k hay bằng thu âm.  cứ nhảy ầm ầm xem có hết hơi k. 
tôi k bênh ai cả. nhưng nghe mấy cái chửi nhau này nọ nghe nó k xuôi.  ai chả có đam mê. chipu thích làm ca sĩ thích hát.  ai nghe đc thì nghe k nghe đc thì đừng nghe gì phải buông những lời không hay như thế."
3265,Quẩy lên nào 😆😆😆
3266,"mình thấy hát cũng bt. live mà. ca sĩ nào hát live chẳng k hay bằng thu âm.  cứ nhảy ầm ầm xem có hết hơi k. 
tôi k bênh ai cả. nhưng nghe mấy cái chửi nhau này nọ nghe nó k xuôi.  ai chả có đam mê. chipu thích làm ca sĩ thích hát.  ai nghe đc thì nghe k nghe đc thì đừng nghe gì phải buông những lời không hay như thế."
3267,"Hát dở k quan trọng,quan trọng là thần thái của c 😂😂"
3268,Xinh de thuong
3269,đm đã hát hay bằng người ta chưa mấy bọn điên
3270,Háhá
3271,hát thấy gớm... 😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱😱ghê gớm ghê ghê ghê
3272,tội nghiệp cho những ai nghe nhạc của Chị.....
3273,hai vl
3274,linh ka lam j o day vay?
3275,"Đừng tưởng sự cố gắng của bạn dựa trên những việc luyện tập vũ đạo. Truoc hết bạn nên luyên thanh như mấy đưa nhỏ học thanh nhạc, và nghe gv thanh nhạc cho bạn lời khuyên THẬT"
3276,Để tao bảo lệ rơi quê ta dạy ngươi hát mới được.
3277,"Thiệt tình là dở quá, Chi nên tập luyện nhiều hơn nếu muốn làm ca sĩ"
3278,😂😂😂😂😂🤣🤣🤣🤣🤣 buồn cười vl cười từ đầu clip đến cuối clip
3279,"Ko được thì đừng cố em Pu ạ, ko là nhiều người sẽ tụt huyết áp khi nghe em hát đấy"
3280,"Chất giọng của Chi Pu mình nghĩ nếu luyện tập hơn chắc có thể cũng ok đấy nhưng mà khuyên thật lòng là nên về luyện tập nhiều hơn nữa rồi hay đi hát -_- với cơ bản bài này cũng éo có hay, mà cứ hát đi hát lại mãi, cứ nghe cái Ò Ó O Ò là muốn đập mẹ cái máy tính."
3281,chị pu hát rất hay
3282,Dở hơn chữ dở
3283,chị ơi em có cảm tưởng là chị hát chỉ để cho lỗ tai người nghe bị ung thư ấy
3284,Chi ạ.nghỉ mẹ đi=.= hiếp dâm âm nhạc
3285,. Tròi kiểu tóc của @@ ariana grande  -- của tui!!!
3286,Do bài này cần vũ đạo... Nếu casi vừa hát vừa nhảy đôi khi bị hụt hơi nên sét thôi.... Sao phải soi kỹ làm chi... Chẳng phải khán giả sung như thế ư???
3287,Cười vỡ bụng 😂
3288,Hết chứ😆😆😆😆
3289,Bài này tên j vậy m.ng
3290,"chị à e cũng thích chị lắm , chị thân thiện , dt , nhưng mà chị hát ko hay gì cả , những bài hát mà chj hát e nghe nó nhảm nhảm ko có chút gì là sâu sắc á chị ơi , chi ko nên làm ca sĩ thì hơn , e khuyên chân thành,"
3291,Vui thôi đừng vui quá -D
3292,thấy cũng hay mà
3293,Tra tấn tai nghe
3294,dù thế nào thì tớ vẫn thích chị Chi Pu 😍😍😍😍💕💕💕💕💕
3295,Nhìn phong cách thấy giống giống của chị Minh Hằng.. cố tình chăng
3296,Thất vọng quá
3297,FC  Wendy Thảo này gọi là lạc tông TRỚT QUỚT
3298,Nhay đep.nhung hat tê qua
3299,Tui thấy cx đc mà
3300,• Vừa hát live vừa nhảy là khá khó nhé :) nhất là đối vs những người chưa chuyên nghiệp :) việc bị đuối hơi và lệch tông là không thể tránh :) nhưng k thể phủ nhận là Chi Pu giọng hơi yếu nên k đủ hơi để lên cao :) dù sao thì mong chị cố gắng hơn
3301,Nói thật bản gốc hay bao nhiêu . Live ko có chỗ nào hay mà còn hát lố 👎👎👎
3302,"kệ nta đi mấy thím !
cứ như việc của mình ý"
3303,động lực để tất cả mọi người có thể tự tin hát hơn! không có dở thì không bao giờ có hay! có cố gắng là mừng r! năng khiếu 1 phần! 1 phần phụ thuộc vào bản thân! nếu dư luận tạo áp lực quá lớn! thì đấy mới là điều tệ hại!
3304,Tao vẫn xem hết vì tao fan chipu
3305,Do kinh khung
3306,đúng là jo taoco the lam ca si dc roi
3307,Đúng la thảm họa
3308,Hát dở quá....😂😂🤣🤣🤣🤣🤣🤣🤣
3309,cái gì qua thời gian sẽ thay doi ma chua j ma da chui nguoi ta roi
3310,Đừng nhìn về quá khứ mà nên nghĩ về hiện tại chipu  ko hát hay nhưng tương lai của chi là một ca sĩ thần tượng của bao nhiêu người đấy
3311,"thật không thể tin nổi,là việt nam lại có 1 sao lên làm ca sĩ như thế này,làm xấu nhạc việt.không biết tự lượng sức mình.nghĩ mình có tiền mình đẹp mình có quyền hay sao.nhảm nhí"
3312,người ta hát dỡ thì thuj sao mn chửi dữ z:)
3313,mặt xinh nhảy đẹp thần thái tốt
3314,me kip dang nhất đầu rap cái này muốn nhập viện luôn
3315,Ác mộng của tôi chính là giọng hát tuyệt vời của Chipu.
3316,Giờ Chipu đã cải thiện giọng hát nhiều rồi :3 !!
3317,Nghe trong zing thì rất tuyệt vời. bình luận thì khen chipu rất là nhiều và khi lên youtube nghe chipu hát thì rất cảm động và muốn rơi nc mắt😂😭
3318,"hay mà, thấy bthg mà do m.n bắt lỗi nhiều quá thôi
(cảm thấy video xúc phạm vlozz ạ😏)"
3319,Live tệ nhất lun á hát cx tệ chỉ đc cái hơi đẹp
3320,Mo nhon that g
3321,Nói thật thì CP hát k chán đến tek nhg k đến mức làm ca sĩ. Nếu chỉ nói là hát chơi thôi thì đc nhg lại bảo là ca sĩ thì ....
3322,Troi troi hat nhu ram vay do oi tai toi
3323,"Vừa nhảy vừa hát thì có mấy anh chị hát được, nhưng vẫn có mấy anh chị ca sĩ bị hụt hơi mà.  Nên đâu trách được."
3324,Tra tấn người nghe
3325,hát dở quad
3326,"này là còn có nhạc đệm á,hát chay nữa thì thôi rồi..."
3327,Hát dở dã man :((
3328,Mặc dù Chi hát ko hay nhưng mk vẫn là fan của chi anti của Chi cứ thoải mái làm ra những video này đi mk vẫn mãi là fan Chi thôi
3329,"Mình nghỉ hát hay ,hây hát dở thì ai thích nghe thì nghe chứ hok cần phải nhận xét như z ..."
3330,Xem xong tao lại thích link ca hơn ôi live cp như xịt
3331,Tởm
3332,Giọng cj yếu quá nếu  k thì hay lm nhé ...
3333,Tui nghĩ Chipu chỉ nên làm diễn viên thoi chứ bả mà làm ca sĩ chắc có nước sân khấu ở Việt Nam sập hết
3334,Má ơi nó phiêu kìa
3335,new achievement unlocked - Em đã nghe được hết các bác ạ. E tự đi thưởng chi mình 1 ly cà phê đây !
3336,C hát ko hay những đi cái quá tự tin
3337,ghê
3338,bị  lỗi thì đã sao vẫn hay mà
3339,hát hay quá à tao nghe nhằm 😂😂😂😍😂
3340,Tởm
3341,Lạy hồn ! xin nín đi được không
3342,Chị Chipu bị khang tiến đó 😫😫
3343,Chưa chắc ca si nổi tiếng đã live đc như vậy chẳng hạng như ai đó sao k nói gato vừa thôi mấy má
3344,Thích cai. Phong. Cách nay ....may. cai. Nguoi nay noi toi noi lui chan. Khac. Gi . Get ...ma. pha. Lan. Gen ti
3345,Dam
3346,Tội nghiệp cp
3347,"từ từ rồi sẽ hay. Như ST - MTP luk đầu hát live cũng chán bỏ bà. nhưng h vàng ngày càng hay. cái j cũng cần có thời gian học hỏi,rèn luyên"
3348,ai ko nghe hết bài này nào 😵😵😵😵😵😵😵😵😵😵
3349,"Thấy dân mạng nói nhiều quá, phải vào xem ntn.....hát như này có ngày đi diễn bị ăn đá là bình thường"
3350,Cháu đang rét nghe xong đóng băng 2 ngày giờ mới hết để cmt
3351,cho hỏi đây là bài gì mặc dù hát k hay nhưng bài hát này hay phết
3352,Nhép lộ vkl
3353,Lệ rơi hát còn lổi tiếng đc mà chipu rồi sẽ lổi haha
3354,K khác gì tùng sơn
3355,Cười k nhặt đc mồm
3356,Thanh Lam khen quá nên vô coi ca sy Chi Pu ca live như thế nào. Hay phech. Cười đau bụng lun.
3357,hát như vả vô mặt người ta z đó
3358,Chipu này nó hát dở chưa từng thấy.....tẩy chai nó đi...
3359,"that la kho loi 
ai do giet toi di !!!"
3360,Cái j cũng có trừ giọng hát
3361,Link ka rồi đến chipu toàn cặn bã của ca sĩ
3362,A lạy e chipu ơi e quá dũng cảm
3363,Chi Pu hát live cug hay mà
3364,Tởm. Biết hát live kém thì đừng nên nhảy
3365,Mất hình tượng tốt nhất đừng hát đc nhiều ng yêu quý hơn
3366,Cứ hở là e thành ca sĩ. Wan trọng là fai biết show hàng
3367,Giọng chi pu yếu quá không ra hơi lùn học hic
3368,ko chỉnh âm thanh là banh não má ơi cứu con~~~~
3369,Đoạn cuối nhìn mặt Chi mà thấy hao hao e Linh Ka. -_- chắc là do mắt tôi thôi.
3370,Giá mà youtube có nút haha
3371,Minh thay nguoi nao lam ra cai nay chac cung ranh lam
3372,Thật lòng k ghét CP mà nghe CP hát nói đúng 1 câu dỡ quá
3373,"Tôi là người miền bắc ,,nhưng ko thích cô này, vì giọng hát ."
3374,Hát hay bằng người ta ko mà chửi hoài. Tưởng mấy người hát hay lắm comment như đúng rồi.
3375,Hát như vầy chết luôn! Giống bò 🐮🐮🐮 rống quá! 😅
3376,Giờ có tiền là cầm Mic thành ca sĩ! Nói ko phải ghen tỵ chứ khâm phục bà này vch giám mang giọng này trước ngàn người hát! 😂😂😂
3377,Vũ đạo cũng đc mà
3378,1.36
3379,Đm chi pu đi hiếp dâm thính giác tao rồi
3380,"Trước kia là diễn viên chuyên nghiệp
Thế nhưng giờ lấn sang âm nhạc 😂"
3381,"Chẳng mong chị sẽ hát live tốt, nghe nhìu người chê nhưng ko tin, giờ nghe đc 1 nửa tắt lun, lê xuống đây cmt nè :>"
3382,Làm ơn đừng lên sân khấu nũa tôi thấy xấu hổ quá
3383,Tr đọc thần chú hả Má
3384,khi mà hát kia cx là giọng thật của chị chi pu mà m tưởng hát hay lắm hả mày bốc phốt chi pu
3385,nghe như gạ địt
3386,Bài nào cũng cà giựt cà giựt .. 😅😅
3387,Biết là pu đam mê hát rất ủng hộ.. nhưng giọng hát k hay thì đừg nên cố làm gì..vì hát cả thế giới này nghe chứ k phải mìh mìh
3388,Dám hay mà
3389,Y hử sắp đứt hơi ý kkk
3390,"vừa hát vừ anhayr thì có thể hụt hơi có sao, địt tổ đứa nào hát hay = nó chưa"
3391,"Hay mà 
Hát đc như bả ko mà ns nhìu =_="
3392,Hình như Chi pu bị Gil Lê vét máng rồi ah
3393,Buồn vào xem hài
3394,nghe thiên hạ đồn chi pu hát tệ hát...vào nghe thử thấy ns chung là nếu chịu khó nghe thì cũng đc
3395,Vừa nhảy vừa hát khó lém.... :))
3396,Nửa đêm nằm nghe cười như điên
3397,Làm video có tâm gớm. Biết delay những đoạn cio ấy feeling. Thật tuyệt vời
3398,tao ghét mày võ đao mày làm xâu măt chi pu
3399,"Hát được như chj ấy ko mà bầy 
Đặt chữi........OK"
3400,Tui lại trời ạ giọng mới ăn ớt hạ
3401,Hèn chi bị hương tràm chê là đúng
3402,Sao bà này làm được ca sĩ vậy?!
3403,"Thảm hoạ âm nhạc, thất bại của thất bại"
3404,Giọng hát thảm họa nhất mọi thời đại
3405,dóg thah niên dậy thì bị vỡ giọg... tiếg như vịt đực..!! :))
3406,"LOVE YOU MY IDOL , CHI PU"
3407,Mấy MV của Chi pu toàn chỉnh giọng thoi.Đây là giọng thâtj
3408,o vn minh sao cs nao cug dc tung hô het z troi mẹ
3409,"Nghe nó hét lên "" let go "" mà buồn cười quá"
3410,mới đầu nghe giọng là biet yếu rồi
3411,Trời ơi. Phải biết giới hạn về tài năng của m đến đâu chứ. Hát như gà gáy
3412,thì ra đây là bát hát của vegat
3413,Hát như bò đái tấm tôn
3414,Hát j dở v tr
3415,Cũng đâu đến nỗi
3416,"Chi Pu xinh đẹp,thông minh,lầy,cực sexy,diễn tốt,múa dẻo,vui tính,hòa đồng mọi mặc đều tốt nhưng hát ... ...(Mà lần đầu tiên thấy có 1 cs có lượt dislike nhiều hơn like)"
3417,Mày là thánh rảnh long đi dìm hàng người khác
3418,"Bao giờ chipu tỉnh ngộ đây, từ khi chipu làm ca sĩ mình hết thích luôn"
3419,Hát như vậy mà cũng gọi là hát đó hả :)
3420,Nó cắt Ra rồi Lập lại Hài VC
3421,Sao live từ hôm nay trước hay lắm mà.
3422,fan chipu điểm danh . kệ mẹ dư luận.
3423,nghe vua mac cuoi ma vua ko theo dung tone nua
3424,lặp lại mấy đoạn làm sao hay
3425,Chưa có kinh nghiệm hát live thôi mà
3426,Hay ma moi nguoi
3427,Câm!bố đập tường !!!!!!! Không bảo chipu
3428,Có ai vừa nhảy vừa hát nỗi kh ?
3429,"Hóa ra ca sĩ là vậy , thảm họa quá thảm họa"
3430,"Xinh thì cũng tạm đc, éo phải xinh lắm. Thân thể thì gầy nhom, lép. Có mỗi cái lý lịch sạch thì tự làm bẩn. Chưa đến mức ô uế, quay đầu lại vẫn kịp đấy"
3431,sao có người hát thấy gớm vậy
3432,sự thật luôn luôn phũ phàng 😢😢😢😢
3433,"Giọng hát cảm động quá T.T nhất là lúc ""quẩy lên nào! Jump,jump,jump"" nghe mà ko cầm dc nước mắt!"
3434,Cái bài gì không hiểu gì hết
3435,"Quỳ đứa làm video, cười vỡ mồm"
3436,Vậy Sao có thể làm ca sĩ hả trời  .. Hồi trước hâm mộ chipu ghê  . Giờ nghe giọng hát live.  Thất vọng ghê . Hát dở hơn người bình thường  . Giọng khô  . Âm ko trong  . 😑
3437,Tởm quá
3438,Cầm mic là thành ca sĩ 🤣
3439,Coi bã hát k cần coi hài 😂 😂
3440,😂
3441,Bài j z ??? Quên tên mất r :*(
3442,"Ai còn nhớ lúc chipu đóng 5s tập người nổi tiếng 
Mọi người coi lại nhé bh thành thật rồi 
( trích 
Dù giọng em có như con ếch ộp chỉnh sửa là ok hết )"
3443,. tớ không thể nghe full bài được :)
3444,".....hk pt ns j lun.....
Chi ơi tỉnh ngộ dùm ik
Sợ hú hồn"
3445,Chệch tông tí thôi mà mà cũng mắc cừ thiệt 😂😂😂😂😂
3446,Giọng yếu cực luôn
