,Comment
2013,xe ăn cắp ka ka
2014,Ko bt CSGT Việt Nam lấy họ để làm gì .
2015,Nói nhìu quá như đàn bà ý
2016,Đề nghi  đảng nhà nước thay đổi  cách làm việc cho bọn này khôn ra
2017,17:06 anh em ơiiiiiiiio
2018,Thanh niên này ghê thiệt..kk..công an giờ nhục quá
2019,Coi mà cười muốn bể bụng.  Thần khùng biết chuyên đề là gì ko.  Haha
2020,Má mấy thằng chó vàng chắc đang cảm thấy rất rất nhục vì cả đám bị một thằng nhóc chửi trên đầu trên cổ hàng giờ liền mà đéo làm gì đc 😂😂😂
2021,Trog clip này t nào củg xl hết
2022,va nhung thang ngu duoc khang dinh bang viec mat tien
2023,Tao biết là mày nói ra cái sai của bọn nó là tốt để mọi người rút kinh nghiệm khi gặp tụi nó nhưng lần sau mày đàn bà vừa thôi nói lắm khiếp
2024,"Nhớ ko nhầm thì cán bộ khi đà thi hành nhiệm vụ thì k đc ghi hình ( quay mặt người dân )
Trong khi ông a này nhắc thì ông csgt kia vẫn quay và cười."
2025,Ma cha may xem tao va tat ca nguoi dan ko duoc xem thi tui may qua sai pham ve phap luat ..
2026,"theo tôi lên đào tạo lại bọn công an hải dương ,vì chỉ bắt biển lạ mà không đứng ngã tư ,mà chỉ đứng ở làn xe máy và xe thô sơ nếungười dân bẻ lái tránh bọn chó áo vàng là bị đè vạch thế là mất tiền ,mà đọc giá 700k"
2027,vãi cả chuyên đề
2028,Nói thật bạn này ngu vl ra luôn đó mà còn hay bắt bẻ. Đã sai rõ như ban ngày mà còn cố cãi chài cãi cối. Csgt k có quyền xuất trình giấy tờ cho bạn xem đâu đồ óc
2029,"Bọn này ngu như bò ,nhìn mặt mũi có lỗi nào mà sao NGU thế"
2030,"Không có gương chiếu hậu bị bắt đúng mẹ nó r , ngu còn cãi cùn chuyên đề . Công nhận có nhiều thằng ngu nhưng cũng tỏ ra nguy hiểm"
2031,"m học hành tốt , thì lấy chữ đó mà giúp đòi đi bắt lỗi người khác đéo ra gì đâu, xỉ nhục người ta nó phải phải thôi"
2032,Cái thằng này sủa giai ? Ngu tỏ ra nguy hiểm
2033,"Bây giờ dân xem thường công an, hình ảnh chú công an giao thông cãi nhau với dân tồi tệ quá , nếu công an làm đúng luật thì dân họ sẽ sợ và làm gì có cảnh công an và dân đôi co quá nhục và sấu hổ, luật mà không thuộc hèn chi sử lý bậy bạ và bị dân mỉa mai xem thường."
2034,Mấy thanh niên ko biết zì mà vô ẳng như biết nhiều lắm
2035,Tôi chịu thằng này . Tôi không bênh csgt. Nhưng nếu tôi là ca tôi sẽ gọi luôn cả cs trận từ ra. Đủ điều kiện để đưa ông này về phượng
2036,Csgt làm ô nhiễm ngành công an
2037,Mấy ông chửi nta ngu.thử hỏi mấy ông khôn mà k lỗi nó vẫy có xin như chó k..nta sai người ta dám 1 mình cân cả đội.mấy ô xl
2038,Mấy thằng chó làm clip câu like. Chỉ thằng trẻ trâu
2039,Oi that la .dau kho cho vn.la 1 nguoi co tham quyen.cua 1 dat nuoc.ma lam an cu nhu vo hoc.con nit.thi lam sao ma vn.co the tot duoc.nhu nguoi ta.nuoc nguoi ta da di du lich toi cung trang roi.ba con vn .oi
2040,A nay nc hay quá ông to mặt lớn im phăng phắc
2041,Đm đúng là mầy thằng Bắc nhầm thằng nguy hiểm như thằng này
2042,Nói thật nhiều cụ xem cũng ko hiểu .... Biết là ng ta vi phạm luật rồi nói linh tinh bày đặt thể hiện. Nhưng đây là ng ta thấy CSGT làm sai chức trách và địa bàn nên mới cố tình vi phạm. Để ng ta biết thôi
2043,Nó viết nâu thế mà không bo nốt 10k xem nó có nấy không
2044,rất tuyệt hi vọng bạn gia nhiều video
2045,Tội ông đeo kính nhồi ghi ghê
2046,Cằng ns cằng ngu thật mấy thag giao thông bắt láo nhìu
2047,"Cứ mặc áo csgt là ra đường cướp hả . Video này thể hiện vậy á . Người dân cả nước xem và xuy nghĩ , đừng để bọn ăn chặn cướp tiền của các vị"
2048,1 lũ hề mặc áo CSGT... DÂN cố tình tháo gương ra là hiểu tụi bây dốt nát đến mức nào
2049,Lũ chó vàng này kéo nhau đi táp cút của dân nhưng táp ngay cực đá rụng hết răng cũng o có răng mà táp cút nữa rồi
2050,Rụngggg saooo chơi câu tốt quá
2051,Địt mẹ  có lỗi rồi cãi làm  đéo  gì  cho  phí lời
2052,"1.90.000 voi 2 toi khong co Kieng Xe, va mu Bao Hiem."
2053,Khiếp thật anh bị phạt ơi csgt các a ý có học nhưng ko nhớ luật thì phải để a ý mở ra nhìn chứ!
2054,Lấy sổ sach luật ra koi ms hài chứ kkk
2055,day la ke khon nan neu bi tai nan chet hay thi ong van can cong an ma lam nhu la ong biet lam
2056,"Người dân này đặt câu hỏi: “Khi cán bộ công an thực hiện nhiệm vụ tuần tra, kiểm soát dừng phương tiện để kiểm tra hành chính thì người bị dừng phương tiện có quyền đề nghị cán bộ công an cho xem văn bản được cử đi làm nhiệm vụ hay không? Nếu chiến sĩ công an từ chối không xuất trình thì người bị dừng phương tiện có quyền không xuất trình giấy tờ không? Bởi trong thực tế có rất nhiều trường hợp lợi dụng việc kiểm tra hành chính, giả danh cán bộ công an đang làm nhiệm vụ để làm những việc trái với quy định pháp luật ảnh hưởng đến uy tín, hình ảnh của chiến sĩ Công an nhân dân”.

Theo Bộ Công an, pháp luật hiện hành quy định, trong khi làm nhiệm vụ tuần tra, kiểm soát giao thông, cán bộ, chiến sỹ CSGT được dừng các phương tiện đang tham gia giao thông để kiểm soát phương tiện, giấy tờ của phương tiện, kiểm soát người và giấy tờ của người điều khiển phương tiện, xử lý các trường hợp vi phạm pháp luật.

Cán bộ, chiến sỹ CSGT khi đó là người đại diện cho pháp luật để thực thi nhiệm vụ, còn người tham gia giao thông là đối tượng phải chịu sự kiểm tra của CSGT một cách tuyệt đối, cũng là tuân thủ pháp luật.

“Người dân có quyền theo dõi, giám sát các hoạt động bảo đảm trật tự, an toàn giao thông của lực lượng CSGT nhưng không có quyền “xem văn bản được cử đi làm nhiệm vụ hay không”, vì Kế hoạch công tác của lực lượng CSGT là một loại tài liệu nghiệp vụ của ngành Công an, chỉ có những người có trách nhiệm và có thẩm quyền mới được kiểm tra”- Bộ Công an nhấn mạnh.

Theo Bộ Công an, nếu người tham gia giao thông có nghi ngờ giả danh cán bộ công an thì phải báo cho công an các cấp biết để xử lý, trong đó có thể gọi đến số điện thoại 069.2342608 là đường dây nóng của Cục Cảnh sát giao thông.

Liên quan đến vấn đề trên, Bộ Công an cũng đã ban hành Thông tư số 01/2016 quy định nhiệm vụ, quyền hạn, hình thức, nội dung tuần tra, kiểm soát giao thông đường bộ của CSGT.

Điều 12 Thông tư số 01/2016 nhấn mạnh, việc dừng phương tiện phải bảo đảm các yêu cầu: An toàn, đúng quy định của pháp luật; không làm cản trở đến hoạt động giao thông và khi đã dừng phương tiện phải thực hiện việc kiểm soát, nếu phát hiện vi phạm phải xử lý vi phạm theo đúng quy định của pháp luật.

Cán bộ thực hiện nhiệm vụ tuần tra, kiểm soát được dừng phương tiện để kiểm soát trong 5 trường hợp sau:

- Trực tiếp phát hiện hoặc thông qua phương tiện, thiết bị kỹ thuật nghiệp vụ phát hiện, ghi nhận được các hành vi vi phạm pháp luật về giao thông đường bộ;

- Thực hiện mệnh lệnh, kế hoạch tuần tra, kiểm soát của Cục trưởng Cục Cảnh sát giao thông hoặc Giám đốc Công an cấp tỉnh trở lên;

- Thực hiện kế hoạch tổ chức tuần tra, kiểm soát và xử lý vi phạm, bảo đảm trật tự, an toàn giao thông của Trưởng phòng Tuần tra, kiểm soát giao thông đường bộ cao tốc thuộc Cục Cảnh sát giao thông, Trưởng phòng Cảnh sát giao thông hoặc Trưởng Công an cấp huyện trở lên;

- Có văn bản đề nghị của Thủ trưởng, Phó thủ trưởng cơ quan điều tra; văn bản đề nghị của cơ quan chức năng liên quan về dừng phương tiện để kiểm soát phục vụ công tác bảo đảm an ninh, trật tự, phòng, đấu tranh chống tội phạm và các hành vi vi phạm pháp luật khác. Văn bản đề nghị phải ghi cụ thể thời gian, tuyến đường, phương tiện dừng để kiểm soát, xử lý, lực lượng tham gia phối hợp;

- Tin báo, tố giác về hành vi vi phạm pháp luật của người và phương tiện tham gia giao thôn"
2057,Ad tre trâu Vl về mà ăn cứt Đi
2058,Yếu luật mà sung cồ làm gì
2059,Cảnh sát giao thông như mấy con chó săn z
2060,Toàn thấy csgt miền bắc và trung bị quay trên youtube ko vậy..?
2061,ôi tứ kỳ quê tôi hahaha . helo mấy anh công an chắc các anh cũng đã xem video này hi vọng gia dinh bố mẹ con cái vợ của các anh sẽ tự hào về các anh. xin được phếp cười vào mặt mấy con chó vàng
2062,Mình o hải dương le
2063,"chuong trinh tuyet voi chuc anh 
tran suc khoe de tiep tuc"
2064,Bon ca nay chi làm phí tien cua nguoi dan
2065,Lỗi đội mũ sai quy định thì bao nhiu z ae
2066,đm thằng chó mày đọc điều 12 thông tư 01/2016 thì mới ra đây bố láo. xe đéo có gương còn hỏi chuyên đề ngu thật. bjio tao mới biết ngu là có thật đấy
2067,Loại công an này đánh bỏ mẹ đi
2068,Đi làm việc gì vậy
2069,Nhưng mà công an thành phố còn chẳng ăn ai chứ mấy thằng công an huyện mà giám làm vậy
2070,Mấy ông hok pt j r anh quay phim ns v là đúg r chứ CSGT mà đi quay người dân có quá đáng hok
2071,Chúng nó ác quá sau này con nó sẽ gánh hết tôi loi cho chúng nó
2072,Gan thật 1 cân muốn 10 thằng
2073,Mới đầu nó tưởng là gà nhưng gặp đúng cục xương mà chó gặm xương thì chết đói khổ thân mấy con chó đàn quá😂😂😂
2074,Công nhận tay này khá thật dám chỉnh cả CSGT  ...hay đấy
2075,"Thằng ôn con này chắc bị ngao đá rồi,ai là bố mẹ thì nhốt nó vào chuồng chó cho an toàn nhé"
2076,"om bung cuoi, chui hay lam bro!"
2077,Cong an de nguoi dan chui ng u ma cung cuoi duoc c v d th
2078,24:14 có thg đi xe k đội mũ bảo hiểm kìa -.-
2079,Nói chuyện hài vãi chưởng kkk
2080,Chú luật thì rất hiểu. Nhưng rõ ràng chú vi phạm là xe không gương chiếu hậu.
2081,công an giao thông ko có học vấn . Chạy quyền chạy chức biết gì đến luật . 1 lũ ngu làm dân nó khổ
2082,"Biết là cố tình . Nhưng cũng ăn nói láo téo , mấy dạy nghe chỉ muốn đá vỡ mẹ mày mồm ý"
2083,Cảnh sát giao thông việt nam nên đi học lại luật hết đi
2084,Câu nói đi ngược với Khá Bảnh
2085,"anh vi pham nay co ra oai thoi,csgt co quyen lap bien ban mih day tien nop phat vo kho bac huong phan tram theo luat dinh,"
2086,Ong nay xu li xong .di toi 1 doan ko co giang hô danh moi la.c.a  voi giang hô di chung nhau ma
2087,Hay lam ban oi.mong ban hay lam viec co bo ich cho ae đc bt them.hay lam ban oi.minh ok voi ban.
2088,13:17 hài vl :v
2089,may thang cong an lam viec nhu cut dung xe anh nay vua cuoi vua quay phim ton com gao nha nuoc
2090,"Gặp mình ko có lịch đi làm( hay chuyên đề) thì hãy đợi đó, ai cũng ko hiểu biết để chúng mày làm loạn ah, chứ ông anh này vẫn bị mất tiền ?? Ko đúng,"
2091,Tài xế nch cục xúc quá
2092,Hahahahaha cười muốn chết
2093,Vai canh sát j ma nhu vay ngi việc di
2094,Như 1 thằng hề 😂🤣
2095,đi xe éo có gương lại còn tỏ ra nguy hiểm
2096,Anh chỉ có chuyên tiền thôi
2097,toi nhi ho lam cung dung nguoi co tien an hiem nguoi it tien nhieu hon do
2098,Vo tay hay quá anh oi
2099,CSGT hải dương là bẩn bựa nhất.
2100,Phục sát đất..
2101,"Hay, cười đau bụng với thanh niên"
2102,"viêt cai gi mà 1 tiêng khg xong, lop 1 khg xong."
2103,Sao cho nó thói 100 đồng thì ngon.
2104,Ban chet me bon cho nay di cho dan do kho
2105,Ko nhịn cười với ông này được 😂😂😂
2106,Canh sát gì ngu nhu con bò
2107,theo luật là phải có cả cảnh sát hình sự
2108,"Em trai hay ghê ta 2,668,787 người xem.Bái phuc.....!"
2109,Đã sai luật rồi còn bày đặt dậy csgt
2110,Mẹ sai đi cải với nó
2111,Anh ngầu vc
2112,Mấy thằng súc vật
2113,Tài xế cứng quá để cho cảnh sát giao thông nó thở một tí chứ nó có học đâu
2114,Muốn bắt lỗi CA thì mình đúng đi đã.đằng này sai rõ ràng là ko có gương hậu trái còn cãi chuyên đề đâu? Muốn học theo clip mấy anh khác thì xem cho kĩ lại họ như thế nào.ko hề sai và chấp hành tốt quy định khi lưu thông họ mới dám vặn CA.
2115,Mong tay dep chi biet tran lot nguoi dan thoi
2116,"Công an VN toàn mua bằng, mua chức và não không chứa gì ngoài ba chữ:""en hối lộ"""
2117,Ông lườm ai đấy 😂😂
2118,"Lại có thằng tiếp thị sữa đi đổi tiền nữa chứ, thằng tiếp thị đó làm làm người không làm làm chó kakaka."
2119,Mấy thằng chó vàng này tổ tông nhà nó thật  bất hạnh
2120,7' lỡ ông gác cổng thì sao haha
2121,Hay that may ong csgt ko noi dc j lun hahaha.csgt ma phai do sach ra xem quy dinh su phat nua huhu.bo nghe dc roi day....hahaha
2122,a phạm lỗi bị bắt quả tan chứ đâu phải tự dưng dừng xe để kiểm tra hành chính đâu mà a đòi người ta chuyên đề a mở miệng ra là nói luật còn luật a luật rừng hả. tôi nói cho a nghe nè Thẩm phán đi xử còn phải mang theo cuốn luật nhé luật Việt Nam bao nhiêu luật bao nhiêu điều khoản con người nhớ hết không dốt bài đặt làm cha
2123,"Cai denh menh , canh sat giao thong xem sach luat viet bien ban xu phat hanh chanh kkkk"
2124,"""Tí tôi quay lại tôi làm vòng nữa cho mấy ông phạt, xem được bao nhiêu phát"". Phạt bác bao nhiêu phát là tối về mấy ông ấy đi xả bao nhiêu phát đấy bác. Nghe cười ỉa"
2125,Mấy ông công an bo tiền chậy chức thì thuộc gì.
2126,"noi chuyên voi tui dôt,buôn cuoi thiêt."
2127,"- Nói theo quê choa là : Gặp phải ""tre gây""... ( tre gai)."
2128,Hahaha....Lam deo j...dit Me....May thang nay...Cuoi cung cung moc ra 170k....Hahaha Ngu vai Lon
2129,Tao ko ưa j mấy thằng CA nhưng gặp những thằng dở hơi như thằng này thì cũng ngứa mắt tưởng ko phải nộp chứ cũng phải nôn ra 190k ko biết có kiếm được ko hay lại về móc túi bố mẹ trước khi sửa cái sai của mấy thằng CA thì mình phải đúng đã
2130,kham phuc anh qua anh dam huy sinh tien tuoi vi to quoc
2131,Coi hết clip ik hài vãi
2132,"Địt mẹ thằng não chó , cương lên không đưa giấy nó phạt thêm không có giấy tờ giữ xe nữa thì ngu hơn cả chó nữa... những lỗi nhìn thấy không cần chuyên đề cũng phạt nhá... lên giời mà kiện..."
2133,Nge ma suong cai lo tai
2134,Cam on anh ban.nay nhe.binh thuong nhu moi nguoi.la 500 ngan roi.con anh thi qua tiet voi
2135,Thằng này là của đội khác mượn thằng này đi săn bọn đối đầu lấy cô đuổi việc
2136,Đã ngu còn cố tỏ ra mình ngu hẳn. :)
2137,Đề nghị bộ cong an ra quy định mới cho csgt khi đi làm nhiệm vụ phải mang đầy đủ giấy tờ liên quan như chuyen đề kế hoạch để khi người tham gia giao thông có hỏi yeu cau cho xem thì csgt có nghĩa vụ để người dân kiểm tra giám sát. Ví chuyen đề và kế hoạch tuyệt hien khong nằm trong danh mục tài liệu mật hoặc tuyệt mật mà phải dấu diếm người dan có quyền làm những gf mà pháp luật khong cấm còn yeu cầu nữa là đề nghị bộ công an quy định csgt khi làm nhiệm vụ khong được dùng điện thoại cá nhan. Để quy chục người dan khi chưa được sự đồng ý của họ cố tình quay chụp là phạm luật  tốt nhất là nen tạm giữ điện thoại cá nhan khi csgt ra đường làm nhiệm vụ
2138,Cho duong nay quen lam hinh nhu la duong moi di len hd
2139,"mây ông ao vàng khg co chu dê, tiu thât."
2140,"Khi m ko đăng cái clip này thì sẽ ko ai nói gì m. Nhưng mà khi m đã đăng lên rồi thì ai cũng khẳng định luôn là m ngu còn tỏ ra nguy hiểm =)) đã ngu luật, xem luật vẹt trên mạng rồi ra đường huênh hoang điều này khoản nọ =))) bảo ngu lại tự ái =)))"
2141,tao ước j có người a như zậy
2142,Xã hội lắm thằng ngu nhưng tỏ ra nguy hiểm. Dẫn luật mà chẳng hiểm đéo gì về luật
2143,Làm việc cười cười hề hề. Đúng là đất nước đi xuống . Nói không có gì là luật pháp cả.
2144,"CSGT nghi het cho roi, cho no chay xe dung nhau chet het roi"
2145,Ca dạo này người ta gọi là con chó vàng đứng đường
2146,"THAT RA MOI NGUOI CUNG pHAI HIEU CHO NGUOI DAN, VI CUOP VA CONG AN GIONG NHAU QUA NEN NGUOI DAN PHAI PHAN KHANG LAI de tu bao ve minh!"
2147,Gap tao tao đam vơ mom  mai tuon mai la ai
2148,Đít mẹ can cho chó vàng duc duoi . Rót sao luôn . Haha .
2149,Một tổ đi làm .kiểm tra một chiếc xe máy .là hết CA luôn. Cán bộ việt nam. Kém nhất .
2150,Tui nể bác lắm. Phải người dân ai cũng rành và cứng được như bác thì dân đâu bị đè đầu cỡi cổ đến độ khóc ra máu. Haizz
2151,1 mình anh chấp hết
2152,"Dm ngu còn cãi. Quên ngắn kính bày đặt cố tình tháo ra. Cmm. Bắt đầu hết, phạt nặng nữa"
2153,Ôg này bản lỉnh nhất rồi
2154,190k là chửi sướng :))
2155,Bộ Công an nên xem lại máy a CSGT phạt loi vì phạm đơn giản vậy mà phải lấy sách ra thật kg ra làm sao ô nhiễm thật
2156,Ông cầm máy quay tố cáo ỗng ik
2157,Bố cái đm thằng quay video . Loz mẹ mày k hiểu là ra đg bắt buộc phải có gương chiếu hậu à ? . C.sgt có quyền dừng phương tiện . Bắt nó chuyên đề :)) . Nghe ngứa tai thật
2158,"Giám đốc CA tỉnh này có thấy trình độ Csgt đang làm việc có một xe máy mà có đến cả Đống Áo vàng để cho dân chửi lại thật là xấu hình ảnh CA trong dư luận XH, cần dẹp ngay kiểu hành xử với dân vô văn hoá quá trời"
2159,Đúng là 🤣🤣
2160,Phái câu nói tụi nầy lm náo
2161,Đẹp trai gần nhất nước Việt nam rồi nha
2162,Dm tha thằng trẽ trâu... Vậy củng đăng lên... Sai mà đòi chuyên đề... Ngu còn la lớn
2163,18:16. Các a đang chép tài liệu
2164,Dm t bị bắt ơ đây mấy lần
2165,Vi phạm còn đòi chuyên đề
2166,"Mày đang sai đấy , không có gương mà còn gáy"
2167,Cảnh sát giao thông  gặp 1 người ko hiểu luật nhưng vẫn thích giảng luật
2168,nhìn thằng lập biên bản giở sách buồn cười éo chịu dc
2169,Pho to cho tao quyen luat de tao  di cuop duong cuop cho
2170,Em. Ruột. Dinh. Sang. Dây. Rồi
2171,"Người vi phạm lẩn lộn là CS họ có lổi nên đc kiểm tra giấy tờ. Còn làm sao mình được lăng mạ người Khác . tiếng như tiếng sơn, sao nói nhiều thế. Sao lại cứ khiêu khích họ vậy."
2172,"Đéo ưa gì áo vàng nhưng xem xong video thì thấy người vô học éo phải các anh công an nhé ,vkl cho thanh niên bị xử phạt lỗi vi phạm đòi xem chuyên đề kt hành chính ,đkm liên quan nhau à ,mọi sự ngu dốt phải trả giá bằng tiền ,và thằng này đã chứng minh rõ hơn điều đó"
2173,Khổ cái nôi là mình không thông luật lại không biết ăn nói nên chúng nó mới cướp được tiền của mình mà
2174,Súc vật áo vàng vẫn tồn tại khắp đất nước cộng sản này
2175,Đi thi mang theo phao thôi mà
2176,Ông sai rồi nhưng mà xem vẫn sướng cái lỗ tai
2177,Like
2178,công an mà thuộc luật chắc mỗi tỉnh đc thằng có khi đ** có ai
2179,Quan trọng là sau khi viết biên bản song thằng này k đọc lại biên bản rồi ký xác nhận
2180,Bang tui no mua khong ma.ngu chet me.chac hoc het lop 4 qua thoi
2181,Ngu học còn thể hiện.đăng fb chắc tự hào lắm.học luật rừng đâu vậy bạn
2182,Anh ở tỉnh nào
2183,Kg hiểu luật thì nó đè đầu cởi cổ
2184,Em cũng tứ kỳ dây nay mấy con lợn này há mồm ra
2185,Bọn giao thông hai Dương ăn cả cút của dân bọn chó vàng
2186,Thằng công an quay phim này ngu thật để ng ta chửi mà éo bít nhục
2187,Tôi và bạn bè đi đám tang ko may bà bạn tôi mất chúng tôi không kịp mang mũ bảo hiểm đúng với pháp luật... chúng tôi đồng ý phạt .. nhưng csgt phạt thì mở điện thoại lên mạng cầm đt đọc luật ...??? Vậy cho tôi hỏi csgt ko hk luật sao...
2188,Tuyệt vời 👍
2189,Thằng quay này nhìn buồn cười công an ko hỉu luật
2190,May thag ch0 a0 vang v nam
2191,dkm t ml này ngu vkl mài k có gương là đã phát hiện vi phạm rồi có gương để trong cốp tao buồn cười quá. cái mồm hại cái thân đấy con ak mài ngu lắm. ra đường mà ăn nói kiểu này sao có ngày bị vỡ mồm
2192,Khieu nai cho cong an di cay bua di cong an lao tuyet
2193,Thực ra thì ra là chưa được 2xao
2194,trang thao gương se pua tuyêt vơi
2195,"mình thề một câu bọn chó vàng bố láo nhất tứ kì, mình người tứ kì đây, mình đang lưu thông trên đường ko phạm lỗi gì mà nó bắt xe kiểm tra giáy tờ , mình bảo có lỗi gì bằng chứng mà đòi kiểm tra xe , nó ko giải thích nó cho xe lên thùng , dkm nhà nó ,"
2196,Thang nay ban cho phat sung dien nhu ben tay xong roi cong tay no lai.loai vo hoc bo lao
2197,Bon cho ao vang bực meh nhi
2198,Nhìn bầy chó nhao nhao định cắn người buồn cười vk
2199,Sao kỳ vậy ta xuất bien ban mà k cần phải ký. Mình k hiểu luôn á. Bởi lâu rồi mình bị tít còi mình chỉ nhét 200k là xong. Đi cho lẹ khỏi tốn nc bọt
2200,Ai cung nhu may tao mom ah
2201,"Học luật online mà cứ thích cứng, sai lè lè con đòi chuyên đề. Làm trò hề cho thiên hạ"
2202,thằng này ngu thế ? xe bị lổi thế kia cãi gì ?
2203,Anh nói chuyện hay lắm
2204,Chi co may thang ngu moi lam tro nay.xe thuy gang guong chay me di.con thao ra choc nguoi ta.
2205,Lại học luận face với luật youtube. Thanh niên còn rất trẻ sức khỏe như trâu cãi rất khỏe. Mỗi tội hơi NG...
2206,Cam cái mồm chó may lại di thì không ai biết may ngu
2207,Đúng là côn đồ công an khĩ gì .
2208,May be guong bo cop xe thi...an cut di con..l cai gi la luat thi phai ton trong.
2209,"Sai lè ra còn chuyên với chả đề, bố khỉ. Đã đi trên đường vi phạm luật giao thông thì ngta có quyền dừng xe kiểm tra giấy tờ và người ta đã nêu rõ lỗi ra rồi còn gân mồm lên đòi chuyên đề, vãi cả cứt"
2210,"Tác phong làm việc k đúng, công an giờ toàn làm luật cửa hậu"
2211,Tao vào ngành hết nhiều tiền lắm đó mày
2212,"2019 mấy  ông này nghỉ việc chưa .
 k.o.  c.h.u.y.ê.n.  đ.ề  . đi .l.à.m . h.a.y.  ă.n 
c. ứ . ơ. p ..  v.ị . 
 Như thế này thì ai chả gét 《gt》"
2213,"Mấy anh CSGT này hiền, k kính chiếu hậu bị dừng kiểm tra k xuất trình giấy tờ. Tạm giữ phương tiện chứ sợ gì, bắc kỳ toàn lũ láu cá.."
2214,Mình chưa bao giờ được xem 1 công an nghiêm túc họ làm việc như thế nào?
2215,Xem 1000000 lần vẫn mắc cười cái móng tay với cái cuốn sổ luật poto kkkkk
2216,Lỗi k gươg nó gọi tấp vô lề là đúng r . Cãi lms đc nó . Đưa giấy tờ  nó k.tra rồi đầy đủ thì đóng 80k xong r đi còn thiếu thì rườm rà . Thế thôi . Thích xem chuyên đề thì về phường nhá .thanh niên  Thích thể hiện . Ngay từ đầu video đã sai rành rành ra rồi .
2217,Làm viec mà  cười dùa duổi việc hết viet nam mình thieu gì người tác phong nghệp vụ yếu kém mất hình ảnh đất nước ngu hiểm hơn phản động
2218,Cười ông này quá
2219,k hiểu luật mà nói như thánh
2220,Hóng kết quả vụ này quá
2221,Đây là k có tiền nộp phạt nên phải cải cùn
2222,Hà nam còn nhiều cái hay hơn ạ
2223,Nhức qua cong an oi
2224,douma'...cười ỉa
2225,Mình dân hải dương mình cảm thấy rất xấu hổ khi thấy mấy con chó vàng này nó xúc phạm người dân
2226,Con tao lôi đầu về đấm cho vô măt...dốt mà còn thể hiện..
2227,Hay vai chuong
2228,Ui mik cũng ở tứ ký mà không biết ông này bảo sao thấy đường này quen quen
2229,mấy con chú vàng chưa hk thuộc đúng điều mà cũng ik bắt người như thật đã ngu lại còn ik làm con chó vàng ven đường
2230,Thang ne lam tro he wa 😁😁😁😁😁
2231,toi la người dân bình thường nhưng tôi thấy ông vi phạm rồi công an bắt lỗi rồi cần gi đưa chuyên đề trừ khi kiểm tra hành chính mới cần chuyên đề .bắt không gương là đúng rồi còn gi nữa anh bạn ơi#
2232,2 ben ket hop lam video neu ko 1ong hy sinh rut sung ban bo me no đi
2233,Khổ thân mấy con chó vàng.đéo ăn được bị tổng sỉ vả nhục nhã quá
2234,Công an ko bjet luat phạt bao nhjeu mẹ tốn toeenf nhà nc
2235,Má làm trò hề nang wa
2236,Gặp cảnh sát cơ động nó đấm sml
2237,rỏ ràng phải có chuyên đề =)) phải xuất chuyên đề ra trước mới có quyền lập biên bản xử phạt =)) lỡ anh đang trên đường đi nhậu mà kẹt tiền quá bắt tôi vào lấy vài trăm đi nhậu đâu có được =)) nhìn thằng đứng quay là thằng hài nhất kkkk
2238,nHING GIỐNG NGÀY XƯA ĐI HỌC KIỂM TRA KO THUỘC BÀI RỒI QUAY TAY NHỈ
2239,Xấu hổ cho csgt k hiểu luật
2240,Gặp cơ động nó cho thằng quay video này vỡ mõm
2241,hay lắm a ơi
2242,Công an ngông xuồng
2243,Một  lũ  hề  nhố  nhăng. Ngành  ca thật  xấu hổ  khi có những  CS giao thông  này
2244,"thằng ngu, cãi cùn. kiểm tra lỗi vi phạm giao thông (xe vi phạm không gương chiếu hậu) chứ có kiểm tra hành chính đâu mà phải cần chuyên đề. lần sau gặp thằng này, các anh áo vàng cứ gang họng nó ra cho tôi"
2245,"Thằng thanh niên hành sử kiểu vô học , tưởng mình giỏi lắm , nếu con người hiểu luật không ăn nói ngông cuồng như vậy"
2246,Mấy ông này chắc cũng giống mấy thằng ở hà giang nhưng k bị phanh phui thôi. Haiz. Nói chuyện như mấy thằng ngu cãi cùn
2247,Ngu lại còn ngu  ^ω^
2248,Giờ công an cũng quay phim à
2249,Kiện được công an chưa
2250,qua that . nhung thang ngu thuong to ra nguy hiem
2251,Phung anh dung la dan toc nung
2252,ca ma ngu vai cua o nha quoc dat cho trak
2253,Kinh nghiệm thông chốt
2254,Được thang nay cung day noi rất hay
2255,Ông làm ji tôi nhìn ông như 1 thằng hề đấy ông ợ .....
2256,CSGT như thế này nghĩ cmnđ nuôi chỉ tốn cơm nhà nước
2257,Ong nói nguoi ta mà ong nói tuc tiểu dậy toi ko đồng tinh ở điểm này
2258,Sa hoi phải có những người như anh ấy mới đỡ công an gt ăn tiền dân bắt lao ko đúng Pháp luot nhà nuoc
2259,ông đói lắm rồi
2260,"Cảnh sát ở đây đã làm đúng với châm ngôn : Ko nên tranh cãi với mấy thằng ngu vì nó sẽ kéo bạn xuống cùng đẳng cấp với nó, luật lá nửa vời."
2261,Đéo có biên bản :)) Anh sinh năm bao nhiêu :)) tấu hài cực mạnh
2262,Bang cuop nay long hanh lau roi.bat ngay bat nhanh kg thi nguy mat.
2263,Dm bon cs qual láo
2264,dân có quyền mắng chửi chi thẳng vào mặt mấy con chó vàng
2265,anh này quá cứng luôn hay vl dm mấy tk oc cứt kìa bl nhìn ngứa vl
2266,bọn csgt này ko biết dùng từ gì cho bọn  nó nhìn là ghét áo vàng
2267,may thang cho cong an an lon
